title,description,category,source,url,scraped_at,price_raw,price_min,price_max,price_midpoint,supplier_name,supplier_location,supplier_city,supplier_state,moq,has_description,has_price,ai_extracted,ai_confidence,ai_product_type,ai_industry,ai_material,ai_application,ai_capacity,ai_power_source,ai_fiber_content,ai_purity,quality_score
CNC Lathe Machine  - Sudarshana,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-sudarshana-13064260033.html,2026-06-11T07:15:02.483931,"₹ 7,50,000",750000.0,750000.0,750000.0,"Hebbal Kempapura, BengaluruControl Technics",,,,,False,True,True,0.6,CNC Lathe Machine,Manufacturing,,,,,,,0.7
"CNC Lathe, Tornado 300",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-tornado-300-17566168933.html,2026-06-11T07:15:02.499808,"₹ 1,00,000",100000.0,100000.0,100000.0,"Kaman, Vasai, Dist. PalgharKunark Hitech Machining & Sales Private Limited",,,,,False,True,True,0.7,CNC Lathe,Manufacturing,,,,,,,0.7
"CNC STONE LATHE MACHINE, Maximum Turning Diameter: 500 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-stone-lathe-machine-2856620258788.html,2026-06-11T07:15:02.515662,"₹ 15,00,000",1500000.0,1500000.0,1500000.0,JaipurSumaya World Technology,,,,,False,True,True,0.9,CNC STONE LATHE MACHINE,Manufacturing,Stone,,,,,,0.7
CNC Wood Lathe,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-wood-lathe-21506431388.html,2026-06-11T07:15:02.531517,"₹ 7,25,000",725000.0,725000.0,725000.0,"Odhav, AhmedabadSuccess Technologies",,,,,False,True,True,0.5,CNC Wood Lathe,Manufacturing,Wood,,,,,,0.7
Cnc Autofeeding Cnc Wood Lathe,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-autofeeding-cnc-wood-lathe-2525563497.html,2026-06-11T07:15:02.544788,"₹ 8,00,000",800000.0,800000.0,800000.0,SuratSuresh Machine Tools,,,,,False,True,True,0.8,Cnc Wood Lathe,Manufacturing,,Woodworking,,,,,0.7
"Slant Bed CNC Lathe, Maximum Turning Length: 500 mm, Maximum Turning Diameter: 400",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/slant-bed-cnc-lathe-2851486370388.html,2026-06-11T07:15:02.563152,"₹ 15,00,000",1500000.0,1500000.0,1500000.0,"Ganapathy, CoimbatorePremier Machine Tools",,,,,False,True,True,0.9,Slant Bed CNC Lathe,Manufacturing,,Machining,,,,,0.7
"CNC Lathe Machine, Maximum Turning Length: 700 mm, Maximum Turning Diameter: 500 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-2855460262597.html,2026-06-11T07:15:02.578298,"₹ 3,20,000",320000.0,320000.0,320000.0,RajkotTechno-Mech Machine Tools,,,,,False,True,True,0.8,CNC Lathe Machine,Manufacturing,,Machining,,,,,0.7
"Cnc Wood Lathe Machine, Maximum Turning Length: 300 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-wood-lathe-machine-2854954857230.html,2026-06-11T07:15:02.594637,"₹ 6,90,000",690000.0,690000.0,690000.0,New DelhiPrefect Cad Cam Solution,,,,,False,True,True,0.7,Cnc Wood Lathe Machine,Manufacturing,,Woodworking,,,,,0.7
CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-2849530678833.html,2026-06-11T07:15:02.603502,"₹ 18,50,000",1850000.0,1850000.0,1850000.0,"Dharmatala, KolkataH.P.Singh & Co.",,,,,False,True,True,0.6,CNC Lathe Machine,Manufacturing,,Machining,,,,,0.7
"Cnc Lathe Machine, 4.5 kW",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-machine-2849736509148.html,2026-06-11T07:15:02.624587,"₹ 5,60,000",560000.0,560000.0,560000.0,JodhpurR.S. Technology,,,,,False,True,True,0.8,Cnc Lathe Machine,Manufacturing,,Machining,,,,,0.7
"CNC315W Cosen Double Turning Tools CNC Wood Lathe Machine, Maximum Turning Length: 1000 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc315w-cosen-double-turning-tools-cnc-wood-lathe-machine-2851558238933.html,2026-06-11T07:15:02.637157,"₹ 16,25,000",1625000.0,1625000.0,1625000.0,"Malad East, MumbaiCaple Industrial Solutions",,,,,False,True,True,0.7,CNC Wood Lathe Machine,Manufacturing,Wood,Woodworking,,,,,0.7
CNC Rotary Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-rotary-lathe-machine-2852768663555.html,2026-06-11T07:15:02.653296,"₹ 7,50,000",750000.0,750000.0,750000.0,"Shivane, PuneTrilok Lasers",,,,,False,True,True,0.6,CNC Rotary Lathe Machine,Manufacturing,,Machining,,,,,0.7
CNC Trainer Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-trainer-lathe-machine-2855515022391.html,2026-06-11T07:15:02.669695,"₹ 10,50,000",1050000.0,1050000.0,1050000.0,GandhinagarAxisco Corporation,,,,,False,True,True,0.5,CNC Trainer Lathe Machine,Manufacturing,,Training,,,,,0.7
Ace Jobber XL CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/ace-jobber-xl-cnc-lathe-machine-20828830588.html,2026-06-11T07:15:02.690972,"₹ 8,50,000",850000.0,850000.0,850000.0,ChennaiRV Tech CNC,,,,,False,True,True,0.4,Ace Jobber XL CNC Lathe Machine,Manufacturing,,Machining,,,,,0.7
Heavy Duty CNC Lathe Machine,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/heavy-duty-cnc-lathe-machine-2858227195662.html,2026-06-11T07:15:02.703700,"₹ 35,00,000",3500000.0,3500000.0,3500000.0,"Anna Nagar East, ChennaiTakasu Seiki Private Limited",,,,,False,True,True,0.8,Machine,Manufacturing,,CNC Lathe,,,,,0.7
"CNC Trainer Lathe Machine, Maximum Turning Diameter: 100 MM",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-trainer-lathe-machine-2851702740791.html,2026-06-11T07:15:02.721305,"₹ 4,50,000",450000.0,450000.0,450000.0,AhmedabadMechmatics Engineering Private Limited,,,,,False,True,True,0.7,Machine,Education,,Training Lathe,,,,,0.7
"FANUC CNC Lathe Machine, Maximum Turning Length: 200 mm, Maximum Turning Diameter: 1000 mm",,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/fanuc-cnc-lathe-machine-3788845648.html,2026-06-11T07:15:02.728137,"₹ 2,00,000",200000.0,200000.0,200000.0,FaridabadWorld Tech,,,,,False,True,True,0.9,Machine,Manufacturing,,CNC Lathe,,,,,0.7
Cnc Lathe Shenyang  2850x800 Mm Fanuc OI Mate-td Control,,cnc lathe machine,dir.indiamart,https://www.indiamart.com/proddetail/cnc-lathe-shenyang-2850x800-mm-fanuc-oi-mate-td-control-2854515369773.html,2026-06-11T07:15:13.359161,"₹ 10,00,000",1000000.0,1000000.0,1000000.0,AhmedabadAnkur Enterprise,,,,,False,True,True,0.8,Cnc Lathe,Manufacturing,,,,,,,0.7
Plain/Solids Plain Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/plain-cotton-fabric-23205079862.html,2026-06-11T07:15:21.540859,₹ 130,130.0,130.0,130.0,LudhianaPooja Industries Private Limited,,,,,False,True,True,0.9,Fabric,Textile,Cotton,,,,,,0.7
Pure Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/pure-cotton-fabric-2853448563712.html,2026-06-11T07:15:21.557538,₹ 70,70.0,70.0,70.0,JaipurAnagha Creation,,,,,False,True,True,0.9,Fabric,Textile,Cotton,,,,,,0.7
"Corss Colour Cotton Fabric (799), Plain/solids, Multicolour",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-cross-coloured-fabrics-42-inches-107-cm-26286192355.html,2026-06-11T07:15:21.574534,₹ 59,59.0,59.0,59.0,JaipurRemtex Export (D To D Lifestyle),,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Cambric Silver Khadi Cotton Shorting Fabric, 60x60",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/silver-khadi-cotton-shorting-fabric-2859186573012.html,2026-06-11T07:15:21.590587,₹ 130,130.0,130.0,130.0,"Bhiwandi, Dist. ThaneAvika Textiles",,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
250GSM Grey RFD Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/250gsm-grey-rfd-cotton-fabric-2856567582191.html,2026-06-11T07:15:21.607274,₹ 365,365.0,365.0,365.0,LudhianaGgemms Impex,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Plain Cotton Fabrics, Plain/Solids",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-fabrics-3768535448.html,2026-06-11T07:15:21.623997,₹ 145,145.0,145.0,145.0,"Vilarasampatti, ErodeSri Kalyan Export Private Limited",,,,,False,True,True,0.7,Fabric,Textile,Cotton,,,,,,0.7
"Cambric Cotton Kantha Fabric, GSM (Fabric Weight): 120-140 gsm, 60x60",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-kantha-fabric-2857288578588.html,2026-06-11T07:15:21.640290,₹ 65,65.0,65.0,65.0,JaipurBluzka Prints,,,,,False,True,True,0.9,Fabric,Textile,Cotton,,,,,,0.7
"Cambric Cotton Fabric 40x40, GSM (Fabric Weight): 90-110 gsm",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-fabric-40x40-2858271523012.html,2026-06-11T07:15:21.653841,₹ 37,37.0,37.0,37.0,JaipurJaipur Printer,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
Rfd Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/rfd-cotton-fabric-27000264888.html,2026-06-11T07:15:21.665157,₹ 400,400.0,400.0,400.0,"Ludhiana, LudhianaS.Biotex Private Limited",,,,,False,True,True,0.6,Fabric,Textile,Cotton,,,,,,0.7
Cotton Fabric,Cotton Fabric,cotton fabric,dir.indiamart,https://www.knittedfabricss.com/,2026-06-11T07:15:21.673452,₹ 475,475.0,475.0,475.0,"Tirupur, TiruppurThe Kothari Fabs",,,,,False,True,True,0.8,Cotton Fabric,,Cotton,,,,,,0.7
"Dyeable & Basic Fabrics Cotton Fabric, GSM (Fabric Weight): 120-140 gsm, 80x80",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-fabric-2853655698891.html,2026-06-11T07:15:21.690142,₹ 64,64.0,64.0,64.0,JaipurShree Balaji Fabricks,,,,,False,True,True,0.7,Cotton Fabric,,Cotton,,,,,,0.7
"Cotton 60 60 fabric, 44 inches",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-60-60-fabric-2855508672462.html,2026-06-11T07:15:21.706874,₹ 65,65.0,65.0,65.0,JaipurAadarsh Textiles,,,,,False,True,True,0.6,Cotton fabric,,Cotton,,,,,,0.7
"Mill Made Cotton Fabrics, Plain/Solids",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/mill-made-cotton-fabrics-2851493967397.html,2026-06-11T07:15:21.720085,₹ 75,75.0,75.0,75.0,SalemNaina Fab,,,,,False,True,True,0.9,Mill Made Cotton Fabrics,,Cotton,,,,,,0.7
"Printed Cotton Fabric, 60x60, GSM (Fabric Weight): 90-110 gsm",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/printed-cotton-fabric-23705687197.html,2026-06-11T07:15:21.731916,₹ 60,60.0,60.0,60.0,JaipurS. S. Textiles,,,,,False,True,True,0.5,Printed Cotton Fabric,,Cotton,,,,,,0.7
Plain Cotton Kurta Fabric (58-60 Inch),,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-kurta-fabric-16610985088.html,2026-06-11T07:15:21.741947,₹ 164,164.0,164.0,164.0,JodhpurRSL Synthetics,,,,,False,True,True,0.8,Fabric,Textile,Cotton,Garment,,,,,0.7
"Silver Cotton Fabric, 35''-36''",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/silver-cotton-fabric-2851899481291.html,2026-06-11T07:15:21.756532,₹ 60,60.0,60.0,60.0,SuratMahalaxmi Textile Mills,,,,,False,True,True,0.7,Fabric,Textile,Silver Cotton,Garment,,,,,0.7
Cotton Kantha Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-kantha-fabric-2857223912262.html,2026-06-11T07:15:21.756532,₹ 70,70.0,70.0,70.0,JaipurNakoda Fab Tex,,,,,False,True,True,0.9,Fabric,Textile,Cotton,Garment,,,,,0.7
For Garment Hand block print combo set,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/hand-block-print-combo-set-22104718348.html,2026-06-11T07:15:21.773230,₹ 129,129.0,129.0,129.0,"Bagru, JaipurMeena Textiles",,,,,False,True,True,0.6,Fabric,Textile,Cotton,Garment,,,,,0.7
"Cambric Natural Indigo Dyed Fabric, GSM (Fabric Weight): 180-200 gsm, 60x60",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/natural-indigo-dyed-fabric-22179578073.html,2026-06-11T07:15:21.789818,₹ 128,128.0,128.0,128.0,"Amer Road, JaipurVandana Textile",,,,,False,True,True,0.9,Fabric,Textile,Cambric Natural Indigo Dyed,Garment,,,,,0.7
georgette Multi Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/multi-cotton-fabric-25015862691.html,2026-06-11T07:15:21.806228,₹ 103,103.0,103.0,103.0,SuratMadhav Fashion,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Cora Cotton Fabric, 44 inches",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cora-cotton-fabric-2854073174962.html,2026-06-11T07:15:21.821240,₹ 165,165.0,165.0,165.0,SuratVandana Impex,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Cotton Fabric Manufacturing, Plain/Solids",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-fabric-manufacturing-2851253510955.html,2026-06-11T07:15:21.831076,₹ 445,445.0,445.0,445.0,LudhianaRadhika Farbics,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
Pure Cotton Fabric 58  Wide Soft & Breathable Textile,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/pure-cotton-fabric-58-wide-soft-breathable-textile-2856967545091.html,2026-06-11T07:15:21.847466,₹ 139,139.0,139.0,139.0,"Bhiwandi, Dist. ThaneSumit Textiles",,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Cora Cotton Fabric, GSM (Fabric Weight): 160-180 gsm, Gsm (Fabric Weight): 160-180 Gsm",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cora-cotton-fabric-2859255661797.html,2026-06-11T07:15:21.863977,₹ 80,80.0,80.0,80.0,"Saroli, SuratDoriya Creation",,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
"Multicolour Paper Cotton fabric, 58 inches",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/multicolour-paper-cotton-fabric-2855637863662.html,2026-06-11T07:15:21.880405,₹ 100,100.0,100.0,100.0,AhmedabadBhansali Corporation,,,,,False,True,True,0.8,fabric,textile,cotton,,,,,,0.7
Blue Plain Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/blue-plain-cotton-fabric-2851676370462.html,2026-06-11T07:15:21.888923,₹ 54,54.0,54.0,54.0,"Unn, SuratNew-Way Trends",,,,,False,True,True,0.7,fabric,textile,cotton,,,,,,0.7
Cotton Dress Material,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-dress-material-2853899147712.html,2026-06-11T07:15:21.905240,₹ 129,129.0,129.0,129.0,JaipurMeera Handicrafts,,,,,False,True,True,0.9,fabric,textile,cotton,,,,,,0.7
"Cotton Chanderi Fabric (Organic Cotton, Plain/Solid)",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-chanderi-fabric-2856010604033.html,2026-06-11T07:15:21.920629,₹ 110,110.0,110.0,110.0,ChandauliSilk Textile Station,,,,,False,True,True,0.85,fabric,textile,organic cotton,,,,,,0.7
Screen Print Cotton Printed Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-printed-fabric-2858657504562.html,2026-06-11T07:15:33.308228,₹ 80,80.0,80.0,80.0,JaipurThird Eye Export,,,,,False,True,True,0.5,Fabric,Textile,Cotton,,,,,,0.7
Drill Boiler Suit Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/drill-boiler-suit-fabric-22500171288.html,2026-06-11T07:15:33.322243,₹ 120,120.0,120.0,120.0,AhmedabadShri Balaji Impex,,,,,False,True,True,0.8,Drill,Textile,Fabric,,,,,,0.7
Multicolor Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/multicolor-cotton-fabric-25587898788.html,2026-06-11T07:15:33.343561,₹ 36,36.0,36.0,36.0,AhmedabadSumati Fab,,,,,False,True,True,0.7,Multicolor,Textile,Cotton Fabric,,,,,,0.7
"Pure Cotton Gada Fabrics, Plain/Solids, White",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/gada-fabrics-24033595797.html,2026-06-11T07:15:33.359245,₹ 50,50.0,50.0,50.0,ChennaiUddup,,,,,False,True,True,0.5,Pure Cotton,Textile,Gada Fabrics,,,,,,0.7
Floral Kantha Cotton Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/kantha-cotton-fabric-24565725097.html,2026-06-11T07:15:33.374987,₹ 75,75.0,75.0,75.0,"Sanganer Bazar, JaipurAmayra Creations",,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
59 Inch Cotton Cashmate Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/59-inch-cotton-cashmate-fabric-2855273129962.html,2026-06-11T07:15:33.374987,₹ 50,50.0,50.0,50.0,"Erode Fort, ErodeGeetharamani Mills",,,,,False,True,True,0.7,Fabric,Textile,Cotton,,,,,,0.7
Cotton Khata Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-khata-fabric-2853200976155.html,2026-06-11T07:15:33.406759,₹ 75,75.0,75.0,75.0,JaipurKrishna Fabric,,,,,False,True,True,0.6,Fabric,Textile,Cotton,,,,,,0.7
Plain Sheeting Cotton Grey Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/sheeting-cotton-grey-fabric-2850396815197.html,2026-06-11T07:15:33.422636,₹ 43,43.0,43.0,43.0,"Ichalkaranji, Dist. KolhapurPooja Textile Mills",,,,,False,True,True,0.5,Fabric,Textile,Cotton,,,,,,0.7
"Mul Mul Cotton Fabrics, Plain/Solids, White",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/mul-mul-cotton-fabrics-2851239498462.html,2026-06-11T07:15:33.422636,₹ 34,34.0,34.0,34.0,ErodeSri Sitalakshmi Textile Mills,,,,,False,True,True,0.8,Fabric,Textile,Cotton,,,,,,0.7
IKKAT Pure cotton febric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/pure-cotton-febric-23671919088.html,2026-06-11T07:15:33.438770,₹ 75,75.0,75.0,75.0,BhagalpurSumit Kumar,,,,,False,True,True,0.7,Fabric,Textile,Cotton,,,,,,0.7
"Cotton Sambalpuri Fabric, Geometric, Multicolour",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/cotton-sambalpuri-fabric-2853439132412.html,2026-06-11T07:15:33.454472,₹ 49,49.0,49.0,49.0,"Balotra, Dist. BarmerHira Jyoti Textile",,,,,False,True,True,0.9,Fabric,Textile,Cotton,,,,,,0.7
"Dull Cotton Fabric, 58 inches",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/dull-cotton-fabric-2857222585497.html,2026-06-11T07:15:33.454472,₹ 55,55.0,55.0,55.0,AhmedabadArihant Trading Agency,,,,,False,True,True,0.6,Fabric,Textile,Cotton,,,,,,0.7
90 GSM Jaam Cotton Rfd Fabric,,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/90-gsm-jaam-cotton-rfd-fabric-2858217092830.html,2026-06-11T07:15:33.470190,₹ 84,84.0,84.0,84.0,SuratChandni Impex,,,,,False,True,True,0.5,Fabric,Textile,Cotton,,,,,,0.7
"Cambric Striped Printed Cotton Fabric, 60x60, GSM (Fabric Weight): 160-180 gsm",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/striped-printed-cotton-fabric-2857657874097.html,2026-06-11T07:15:33.485946,₹ 100,100.0,100.0,100.0,JaipurRamdev Handicrafts,,,,,False,True,True,0.9,Fabric,Textile,Cotton,Garments,,,,,0.7
"Printed 44-45"" Hand Block Print Cotton Fabric for Garments, GSM: 100 GSM",,cotton fabric,dir.indiamart,https://www.indiamart.com/proddetail/hand-block-print-cotton-fabric-22118369962.html,2026-06-11T07:15:33.485946,₹ 125,125.0,125.0,125.0,JaipurDosaya Bagru Textiles,,,,,False,True,True,0.8,Fabric,Textile,Cotton,Garments,,,,,0.7
Evaporation Sensor SF00002701,,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/evaporation-sensor-sf00002701-2855822165233.html,2026-06-11T07:15:42.829041,"₹ 78,296",78296.0,78296.0,78296.0,"Rathinapuri, CoimbatoreNunes Instruments",,,,,False,True,True,0.7,Sensor,Industrial,,Measurement,,,,,0.7
Proximity Creative Fork Sensor,,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/creative-fork-sensor-2024516912.html,2026-06-11T07:15:42.850970,"₹ 1,050",1050.0,1050.0,1050.0,VadodaraCreative Electronics,,,,,False,True,True,0.6,Sensor,Industrial,,Measurement,,,,,0.7
Light Lux Level Sensor SF00003257,,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/light-lux-level-sensor-sf00003257-2856603549948.html,2026-06-11T07:15:42.868799,"₹ 79,170",79170.0,79170.0,79170.0,"Rathinapuri, CoimbatoreInstrumentation",,,,,False,True,True,0.8,Sensor,Industrial,,Measurement,,,,,0.7
Omron E3z-R81 Retro Reflective Sensor,,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/omron-e3z-r81-retro-reflective-sensor-25532979633.html,2026-06-11T07:15:42.886616,"₹ 2,900",2900.0,2900.0,2900.0,"Millerganj, LudhianaShree Vishwakarma Electro Sales",,,,,False,True,True,0.8,sensor,industrial,,,,,,,0.7
"BALLUFF- BCS012T, 8 mm",,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/balluff-bcs012t-2849756107033.html,2026-06-11T07:15:42.904447,"₹ 10,500",10500.0,10500.0,10500.0,"Valiv, Vasai, Dist. PalgharAllied Electricals",,,,,False,True,True,0.8,sensor,industrial,,,,,,,0.7
Diffuse Radiation Shadow Ring SF00003065,,industrial sensor,dir.indiamart,https://www.indiamart.com/proddetail/diffuse-radiation-shadow-ring-sf00003065-2856317157091.html,2026-06-11T07:15:42.908209,"₹ 81,900",81900.0,81900.0,81900.0,CoimbatoreInstrumentation,,,,,False,True,True,0.8,sensor,industrial,,,,,,,0.7
